iter	Logloss
0	0.677603054
1	0.6662972927
2	0.654759407
3	0.6423224926
4	0.631162405
5	0.6217915058
6	0.6112457275
7	0.5998958588
8	0.5899410248
9	0.5806930065
10	0.5712790012
11	0.5594691277
12	0.5482663155
13	0.5383708477
14	0.5280970097
15	0.5190811634
16	0.5090251923
17	0.4983870506
18	0.4911457539
19	0.4823553562
20	0.4745635509
21	0.4652839661
22	0.4577149391
23	0.4500797272
24	0.4428212166
25	0.4358563423
26	0.4279120922
27	0.421123457
28	0.4143073082
29	0.4083394051
30	0.4007169724
31	0.3954938889
32	0.3872222424
33	0.3797664881
34	0.3726209879
35	0.366699791
36	0.3607126713
37	0.3568093777
38	0.3508780956
39	0.3464131594
40	0.3406368732
41	0.3358361721
42	0.3315179586
43	0.3264101267
44	0.3205990076
45	0.3149241686
46	0.3108744383
47	0.306430769
48	0.3022928715
49	0.2979365587
50	0.2929822206
51	0.2898631811
52	0.2854575634
53	0.2812839031
54	0.277111721
55	0.2728464127
56	0.269814682
57	0.2661006927
58	0.2611145735
59	0.2578067064
60	0.2538844109
61	0.2498867512
62	0.246415019
63	0.2432439804
64	0.2400577545
65	0.2361931324
66	0.2331784248
67	0.2294564486
68	0.2269445419
69	0.2244211674
70	0.221331811
71	0.2189464092
72	0.2155117512
73	0.2130705118
74	0.2098665237
75	0.2061608315
76	0.2031149864
77	0.2008368969
78	0.198132205
79	0.1949297667
80	0.1927410841
81	0.1904905796
82	0.1880469561
83	0.1857737541
84	0.1833751082
85	0.1822585344
86	0.1798234463
87	0.1769751787
88	0.1742997646
89	0.1723780155
90	0.170458591
91	0.1687316179
92	0.1670359373
93	0.1657512188
94	0.1633443832
95	0.1614771008
96	0.1593518615
97	0.1574153066
98	0.1561171293
99	0.1541746736
100	0.1523703098
101	0.1506527424
102	0.149115026
103	0.1473951697
104	0.1457544684
105	0.1443639636
106	0.1428568006
107	0.1409547329
108	0.1394292355
109	0.1382157564
110	0.1368492603
111	0.1354295611
112	0.1339521885
113	0.1329544544
114	0.1317402005
115	0.1303262949
116	0.1291327238
117	0.1278524637
118	0.1268861413
119	0.1251252294
120	0.1239321589
121	0.1227763772
122	0.1213009596
123	0.1200654745
124	0.1192893982
125	0.1182337284
126	0.1169389009
127	0.1161392927
128	0.1153349042
129	0.1141730785
130	0.1131214976
131	0.1115103602
132	0.1103030324
133	0.1094325423
134	0.1085553885
135	0.1077901125
136	0.1067934871
137	0.1054301977
138	0.1041923285
139	0.1033051252
140	0.1024187446
141	0.1014257789
142	0.1003821135
143	0.0995875299
144	0.09838210344
145	0.09755139351
146	0.09689457417
147	0.09599114656
148	0.09533765912
149	0.09471563697
150	0.09385347366
151	0.09300558567
152	0.09206484556
153	0.09112522006
154	0.09036660194
155	0.08946928382
156	0.08871665001
157	0.08791675568
158	0.0871728301
159	0.08631660938
160	0.0856279552
161	0.08499179482
162	0.08412357569
163	0.0834774971
164	0.08276112676
165	0.08208917379
166	0.0814893961
167	0.08089737892
168	0.08021718264
169	0.07957562208
170	0.07885583639
171	0.07832942009
172	0.07755799294
173	0.07705175877
174	0.07647528648
175	0.0759432435
176	0.07533080578
177	0.07469781637
178	0.07402169704
179	0.07351521254
180	0.07285959721
181	0.072492522
182	0.07171911001
183	0.07127015591
184	0.07062026262
185	0.06998347044
186	0.0694890976
187	0.06905399561
188	0.06856586933
189	0.06811125278
190	0.06767679453
191	0.06739223003
192	0.06692717075
193	0.0665974021
194	0.06611789465
195	0.06569439173
196	0.06524343491
197	0.06467776895
198	0.06422262192
199	0.06380882263
200	0.06336917281
201	0.06306629181
202	0.06248748899
203	0.0621460557
204	0.06174910069
205	0.06126168966
206	0.06096128225
207	0.06052623391
208	0.060105443
209	0.0596341908
210	0.05935835242
211	0.05904285908
212	0.05877982378
213	0.05839503407
214	0.05814321041
215	0.0577193141
216	0.05718225241
